Time,Direction 1,Direction 2,Direction 3,Direction 4,Direction 5,Direction 6,Direction 7,Direction 8,Direction 9,Direction 10,Direction 11,Direction 12,Direction 13,Direction 14
9:01,,,,,,,,3,,,,,7,
9:02,,,,,,4,3,,,,,,3,
9:03,,,,,,3,,,,,,,2,
9:04,,,,,,,3,,,,,,7,
9:05,,,,,,8,1,,,,,,15,
9:06,,,,,,15,1,,,2,,,,
9:07,,,,,,3,1,3,,,,,8,
9:08,,,,,,1,,1,,,,,6,
9:09,,,,,,14,,,,,,,9,
9:10,,,,,,9,1,,,,,,10,1
9:16,,,,,,,,,,,,,8,
9:17,2,,,,,6,,,,,,,8,
9:18,,,,,,5,1,,,,1,,11,
9:19,,,,,,8,,,,,,,,
9:20,,,,,,,,,,,,,8,2
9:21,,,,,,11,,,,,,,12,
9:22,,,,,,3,,,,,,,4,
9:23,,,,1,,4,,,,,,,3,
9:24,,,,,,4,,,,,,1,10,
9:25,,,,,,4,1,,,,,,,
9:31,,,,,,7,2,,,,1,,5,
9:32,,,,,,1,,,,,,,12,
9:33,,,,,,8,,,,,,,,
9:34,,,,,,2,,,,,,,6,
9:35,,,,,,7,1,,,,,1,4,
9:36,,,,2,,2,,3,2,,,,5,
9:37,,,,,,2,,,,,,,7,
9:38,,,,,,11,,,,,,,,
9:39,,,,,,7,,,,,,,11,
9:40,,,,,,4,1,,,,,,4,
9:46,,,,,,4,1,,,,,,9,
9:47,,,,,,8,2,,,,,,9,
9:48,,,,,,6,,,,,,,8,
9:49,,,,,,7,,,,,,,3,
9:50,,,,,,1,,,,,,,9,
9:51,,,,,,2,,,,,,,12,
9:52,,,,,,4,,,,,,,6,
9:53,,,,1,,3,,,,,,,16,
9:54,,,,,,9,1,1,,,,,3,
9:55,,,,,,7,,,,,,,,
