Time,Direction 1,Direction 2,Direction 3,Direction 4,Direction 5,Direction 6,Direction 7,Direction 8,Direction 9,Direction 10,Direction 11,Direction 12,Direction 13,Direction 14
18:01,,,1 Bus,,,,,,,,,,2 Buses,
18:02,,,,,,,,,,,,,,
18:03,,,,,,,,,,,,,,
18:04,,,,,1 Bus,,,,,,,,,
18:05,,,,,,,,,,,,,,
18:06,,,1 Bus,,,,,,,,,,,
18:07,,,,,,,,,,,,,,
18:08,,,,,,,,,,,,,,
18:09,,,,,1 Bus,,,,,,,,,
18:10,,,,,,,,,,,,,,
18:16,,,,,,,,,,,,,,
18:17,,,,,,,,,,,,,,
18:18,,,,,1 Bus,,,,,,,,,
18:19,,,,,,,,,,,,,,
18:20,,,1 Bus,,,,,,,,,,,
18:21,,,,,,,,,,,,,,
18:22,,,,,,,,,,,,,1 Bus,
18:23,,,1 Bus,,1 Bus,,,,,,,,,
18:24,,,,,,,,,,,,,, 1 Bus
18:25,,,,,,,,,,,,,,
18:31,,,,,,,,,,,,,,
18:32,,,,,,,,,,,,,,
18:33,,,,,,,,,,,,,,
18:34,,,,,,,,,,,,,,
18:35,,,,,,,,,,,,,,
18:36,,,,,,,,,,,,,,
18:37,,,,,,,,,,,,,,
18:38,,,1 Bus,,,,,,,,,,,
18:39,,,,,,,,,,,,,,
18:40,,,,,,,,,,,,,,
18:46,,,,,1 Bus,,,,,,,,,
18:47,,,,,,,,,,,,,,
18:48,,,,,,,,,,,,,,
18:49,1 Bus,,,,,,,,,,,,,
18:50,,,,,,,,,,,,,1 Bus,
18:51,,,,,,,,,,,,,,
18:52,,,1 Bus,,,,,,,,,,,
18:53,,,,,,,,,,,,,,
18:54,,,,,,,,,,,,,,
18:55,,,,,,,,,,,,,,
