Time,Direction 1,Direction 2,Direction 3,Direction 4,Direction 5,Direction 6,Direction 7,Direction 8,Direction 9,Direction 10,Direction 11,Direction 12,Direction 13,Direction 14
9:06,,,,,,,,1,,,,3,25,1
9:07,,,,,,,,,,,,,13,
9:08,,,,,,,,,,,,,8,
9:09,,,,,,,,,,,,,1,
9:10,,,,,,5,2,,,,,,4,
9:11,,,,,,2,,,,,,,10,
9:12,,,,,,11,1,,,,,,,
9:13,,,,,,,,,,,,,11,1
9:14,,,,,,,,,,3,,,10,
9:15,,,,,,,,,,,,,,
9:21,,,,,,3,1,,,1,,1,3,
9:22,1,,,,,,1,,,,,,7,
9:23,,,,,,13,,,,,,,6,
9:24,,,,,,,2,,,,,,7,
9:25,,,,1,,4,,1,1,,,,23,
9:26,,,,,,1,3,1,,,,,3,
9:27,,,1,,,5,1,,,,,,,
9:28,,,,,2,6,,,,1,,,15,
9:29,,,,,,1,,1,,,,1,3,
9:30,,,,,,9,2,,,,,,9,
9:36,1,,,,,8,,,,1,,,,
9:37,,,,,1,1,,,,,1,,20,
9:38,,,,,,9,,,,,,,,
9:39,,,,,,4,,,,,,,5,
9:40,,,,,,6,,,,2,,,,
9:41,1,,,,,6,1,,,,,,9,
9:42,,,,,,4,,,,,1,1,9,
9:43,,,,,,3,,,,,,,6,
9:44,,,,,,1,,,,,,1,3,1
9:45,,,,,,6,3,,,,,,,
9:51,,,,,,3,1,,,,,,6,
9:52,,,,,,7,1,,,,,1,,
9:53,,,,,,4,,,,,,,7,
9:54,,,,,,4,,,,,,,,
9:55,,,,,,9,,,,,,,23,
9:56,,,,,,6,1,,,1,,,,
9:57,,,,,,2,2,,,1,,,4,
9:58,,,,,,1,,,,,,,8,
9:59,,,,1,,8,,,,1,,,4,
10:00,,,,,,8,,,,,,,,
